short,long,sl,tp,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct
30,250,0.005,0.01,-2.81,-99.85,13.83,90,46.94
50,150,0.005,0.005,-2.87,-99.99,18.87,130,46.41
40,150,0,0.02,-2.88,-100,66.33,716,43.85
20,200,0,0.01,-2.96,-100,72.05,840,43.48
40,200,0.01,0.005,-2.96,-99.98,17.44,118,46.75
40,250,0.005,0,-2.97,-100,86.19,1310,42.26
40,200,0.005,0.005,-2.98,-99.98,18.18,124,46.73
50,150,0.01,0.005,-3.02,-99.98,17.95,122,46.45
10,200,0.01,0.005,-3.16,-100,25.05,182,46.27
10,200,0.02,0.005,-3.16,-100,25.05,182,46.27
40,200,0.02,0.005,-3.21,-99.98,17.28,116,46.76
20,200,0,0.02,-3.22,-100,65.57,700,44.08
30,200,0,0.01,-3.22,-100,71.58,828,43.58
10,200,0.01,0.01,-3.23,-100,23.03,164,46.34
10,200,0.02,0.01,-3.23,-100,23.03,164,46.34
50,150,0.02,0.005,-3.26,-99.98,17.79,120,46.46
10,200,0.005,0.01,-3.3,-100,23.51,168,46.33
30,200,0,0.02,-3.41,-100,64.44,678,44.22
40,150,0.005,0.005,-3.46,-99.99,20.07,138,46.3
20,250,0.02,0,-3.51,-100,86.35,1316,41.59
30,150,0.005,0.005,-3.54,-100,21.99,154,46.42
10,250,0.02,0,-3.56,-100,89.1,1466,40.87
30,200,0.01,0.005,-3.59,-99.99,18.42,124,46.63
30,200,0.005,0.005,-3.61,-99.99,18.91,128,46.6
40,200,0.005,0.02,-3.63,-99.9,14.68,94,46.85
20,250,0.01,0,-3.65,-100,86.6,1328,41.54
20,250,0.005,0,-3.67,-100,88.12,1408,41.21
10,250,0.01,0,-3.69,-100,89.3,1478,40.82
30,250,0.02,0,-3.7,-100,83.17,1176,42.42
10,200,0.005,0.02,-3.78,-100,21.84,152,46.39
10,200,0.01,0.02,-3.78,-100,21.84,152,46.39
10,200,0.02,0.02,-3.78,-100,21.84,152,46.39
40,150,0.01,0.005,-3.78,-99.99,18.98,128,46.35
10,200,0,0.02,-3.81,-100,62.41,640,44.2
30,200,0.02,0.005,-3.83,-99.99,18.27,122,46.63
30,250,0.01,0,-3.83,-100,83.48,1188,42.37
10,250,0.005,0,-3.88,-100,90.38,1548,40.52
20,200,0.005,0.005,-3.9,-100,22.82,160,46.48
30,150,0,0.005,-3.91,-100,82.04,1132,42.25
40,200,0.02,0.02,-3.94,-99.9,14.55,92,46.86
30,150,0.01,0.005,-3.96,-100,21.21,146,46.46
30,150,0.02,0.005,-3.96,-100,21.21,146,46.46
50,150,0.005,0.02,-3.98,-99.91,14.82,94,46.57
40,200,0.01,0.02,-3.99,-99.91,14.83,94,46.85
20,200,0.01,0.005,-4.01,-100,22.4,156,46.49
40,150,0.02,0.005,-4.02,-99.99,18.83,126,46.36
40,200,0,0.005,-4.07,-100,78.51,1012,42.94
50,150,0.01,0.02,-4.07,-99.9,14.6,92,46.58
50,150,0.02,0.02,-4.07,-99.9,14.6,92,46.58
40,200,0.01,0.01,-4.1,-99.94,15.63,100,46.83
30,250,0.005,0,-4.13,-100,86.71,1332,41.76
40,200,0.005,0.01,-4.14,-99.96,16.15,104,46.81
50,150,0.005,0.01,-4.17,-99.96,16.41,106,46.52
20,200,0,0,-4.24,-100,99.98,5626,23.44
20,200,0.02,0.005,-4.25,-100,22.49,156,46.5
40,150,0,0.005,-4.32,-100,81.13,1098,42.25
50,150,0.01,0.01,-4.32,-99.95,15.97,102,46.53
50,150,0,0.005,-4.33,-100,80.32,1070,42.41
40,200,0.02,0.01,-4.34,-99.94,15.48,98,46.83
50,150,0.02,0.01,-4.56,-99.95,15.81,100,46.54
50,200,0.02,0,-4.77,-100,83.25,1176,42.32
20,200,0,0.005,-4.81,-100,79.53,1042,42.63
50,200,0.01,0,-4.9,-100,83.56,1188,42.27
10,150,0,0.005,-5.04,-100,81.86,1122,42.27
40,250,0,0,-5.04,-100,99.98,5708,23.78
40,150,0.01,0.02,-5.08,-99.95,15.78,98,46.48
