short,long,vol_target,atr_win,k,sl,tp,cooldown,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct,avg_pos_size
20,150,0.15,14,0.5,1ATR,2ATR,5,-2.27,-100,82.35,1154,23.87,0.103
20,50,0.15,14,0.5,1ATR,2ATR,5,-2.28,-100,84.82,1254,25.46,0.11
20,50,0.1,14,0.5,1ATR,2ATR,5,-2.29,-100,84.8,1254,25.46,0.075
20,150,0.1,21,1,1ATR,2ATR,5,-2.31,-100,81.78,1132,24.4,0.132
20,150,0.2,21,0.5,1ATR,2ATR,5,-2.31,-100,81.78,1132,24.4,0.132
20,150,0.1,14,0.5,1ATR,2ATR,5,-2.35,-100,82.34,1154,23.87,0.071
10,50,0.2,14,1,2ATR,2ATR,5,-2.44,-100,79.03,1036,31.13,0.26
10,50,0.15,14,1,1ATR,2ATR,5,-2.46,-100,85.08,1264,25.94,0.186
20,50,0.2,14,1,1ATR,3ATR,5,-2.49,-100,78.52,1020,30.42,0.251
5,150,0.1,14,0.5,1ATR,2ATR,5,-2.51,-100,83.96,1218,24.59,0.072
5,100,0.15,14,1,2ATR,2ATR,5,-2.52,-100,78.24,1012,30.97,0.221
5,150,0.1,14,1,1ATR,2ATR,5,-2.54,-100,83.99,1218,24.59,0.134
5,150,0.2,14,0.5,1ATR,2ATR,5,-2.54,-100,83.99,1218,24.59,0.134
5,150,0.2,14,1,1ATR,2ATR,5,-2.57,-100,84.04,1218,24.59,0.206
20,150,0.15,21,0.5,1ATR,2ATR,5,-2.6,-100,81.77,1132,24.4,0.104
5,50,0.15,14,1,1ATR,3ATR,5,-2.61,-100,80.41,1082,31.55,0.221
5,150,0.15,14,0.5,1ATR,2ATR,5,-2.63,-100,83.98,1218,24.59,0.105
20,100,0.1,21,1,1ATR,2ATR,5,-2.66,-100,82.59,1162,24.9,0.134
20,100,0.2,21,0.5,1ATR,2ATR,5,-2.66,-100,82.59,1162,24.9,0.134
10,150,0.15,14,1,2ATR,2ATR,5,-2.69,-100,76.19,952,28.96,0.208
5,50,0.15,21,1,2ATR,3ATR,5,-2.74,-100,74.42,904,36.13,0.254
5,150,0.15,14,1,1ATR,2ATR,5,-2.79,-100,84.02,1218,24.59,0.179
5,50,0.15,21,1,1ATR,3ATR,5,-2.8,-100,81,1102,31.25,0.221
20,150,0.1,14,1,2ATR,2ATR,5,-2.84,-100,75.5,934,28.82,0.154
20,150,0.2,14,0.5,2ATR,2ATR,5,-2.84,-100,75.5,934,28.82,0.154
20,150,0.1,21,0.5,1ATR,2ATR,5,-2.85,-100,81.76,1132,24.4,0.071
20,100,0.15,21,0.5,1ATR,2ATR,5,-2.9,-100,82.58,1162,24.9,0.105
20,100,0.1,21,0.5,1ATR,2ATR,5,-2.96,-100,82.56,1162,24.9,0.072
5,100,0.2,14,1,1ATR,2ATR,5,-2.97,-100,84.76,1248,25.69,0.214
10,100,0.2,21,1,1ATR,2ATR,5,-2.97,-100,83.52,1196,25.22,0.213
20,150,0.15,14,0.5,2ATR,2ATR,5,-3.22,-100,75.48,934,28.82,0.12
5,100,0.2,21,1,1ATR,3ATR,5,-3.28,-100,79.33,1044,30.06,0.25
5,100,0.1,14,1,2ATR,2ATR,5,-3.35,-100,78.23,1012,30.97,0.163
5,100,0.2,14,0.5,2ATR,2ATR,5,-3.35,-100,78.23,1012,30.97,0.163
5,100,0.15,14,0.5,2ATR,2ATR,5,-3.4,-100,78.2,1012,30.97,0.127
20,150,0.2,21,1,1ATR,3ATR,5,-3.43,-100,77.57,990,27.36,0.229
10,50,0.2,21,1,2ATR,3ATR,5,-3.5,-100,71.7,834,35.38,0.293
5,100,0.2,21,1,1ATR,2ATR,5,-3.54,-100,84.31,1228,26.15,0.22
5,150,0.2,14,1,1ATR,3ATR,5,-3.57,-100,77.93,1000,29.33,0.242
20,150,0.1,14,0.5,2ATR,2ATR,5,-3.59,-100,75.46,934,28.82,0.082
5,100,0.1,14,0.5,2ATR,2ATR,5,-3.6,-100,78.17,1012,30.97,0.087
20,150,0.15,14,1,1ATR,3ATR,5,-3.61,-100,76.65,964,27.82,0.197
10,100,0.2,14,1,1ATR,3ATR,5,-3.64,-100,77.99,1002,29.41,0.243
20,50,0.15,21,1,1ATR,3ATR,5,-3.65,-100,78.87,1030,30.26,0.216
10,50,0.2,21,1,1ATR,2ATR,5,-3.76,-100,84.52,1236,26.53,0.224
5,100,0.15,14,1,1ATR,2ATR,5,-3.77,-100,84.76,1248,25.69,0.186
10,150,0.15,14,1,1ATR,3ATR,5,-3.77,-100,76.59,962,28.37,0.201
5,150,0.2,14,1,2ATR,2ATR,5,-3.85,-100,77.2,978,29.9,0.25
10,150,0.1,14,1,2ATR,2ATR,5,-3.87,-100,76.19,952,28.96,0.154
10,150,0.2,14,0.5,2ATR,2ATR,5,-3.87,-100,76.19,952,28.96,0.154
5,50,0.1,14,1,1ATR,3ATR,5,-3.99,-100,80.42,1082,31.55,0.164
5,50,0.2,14,0.5,1ATR,3ATR,5,-3.99,-100,80.42,1082,31.55,0.164
10,150,0.2,21,1,1ATR,3ATR,5,-4,-100,77.2,978,28.06,0.235
5,50,0.1,21,1,2ATR,3ATR,5,-4.01,-100,74.43,904,36.13,0.187
5,50,0.2,21,0.5,2ATR,3ATR,5,-4.01,-100,74.43,904,36.13,0.187
20,50,0.15,14,1,1ATR,3ATR,5,-4.07,-100,78.57,1020,30.42,0.215
20,100,0.15,14,1,1ATR,3ATR,5,-4.11,-100,77.91,1000,28.32,0.202
5,150,0.2,21,1,1ATR,3ATR,5,-4.13,-100,78.48,1016,28.96,0.243
10,50,0.1,14,1,1ATR,2ATR,5,-4.17,-100,85.1,1264,25.94,0.139
10,50,0.2,14,0.5,1ATR,2ATR,5,-4.17,-100,85.1,1264,25.94,0.139
5,50,0.1,21,1,1ATR,3ATR,5,-4.25,-100,81,1102,31.25,0.163
5,50,0.2,21,0.5,1ATR,3ATR,5,-4.25,-100,81,1102,31.25,0.163
5,50,0.1,21,0.5,2ATR,3ATR,5,-4.33,-100,74.35,904,36.13,0.099
5,100,0.2,14,1,1ATR,3ATR,5,-4.37,-100,79.14,1036,30.31,0.25
10,50,0.2,14,1,1ATR,3ATR,5,-4.42,-100,79.7,1054,30.32,0.249
10,100,0.15,21,1,1ATR,2ATR,5,-4.42,-100,83.54,1196,25.22,0.183
10,150,0.15,14,0.5,2ATR,2ATR,5,-4.43,-100,76.17,952,28.96,0.12
5,50,0.15,21,0.5,2ATR,3ATR,5,-4.45,-100,74.4,904,36.13,0.145
5,100,0.1,14,1,1ATR,2ATR,5,-4.55,-100,84.74,1248,25.69,0.139
5,100,0.2,14,0.5,1ATR,2ATR,5,-4.55,-100,84.74,1248,25.69,0.139
10,100,0.15,21,0.5,1ATR,2ATR,5,-4.68,-100,83.48,1196,25.22,0.107
5,100,0.15,21,1,1ATR,3ATR,5,-4.71,-100,79.36,1044,30.06,0.215
5,150,0.15,14,1,2ATR,2ATR,5,-4.74,-100,77.2,978,29.9,0.214
10,50,0.15,14,1,2ATR,2ATR,5,-4.74,-100,79.12,1036,31.13,0.222
10,150,0.1,14,0.5,1ATR,3ATR,5,-4.75,-100,76.49,962,28.37,0.079
10,100,0.1,21,1,1ATR,2ATR,5,-4.77,-100,83.51,1196,25.22,0.136
10,100,0.2,21,0.5,1ATR,2ATR,5,-4.77,-100,83.51,1196,25.22,0.136
10,100,0.1,21,0.5,1ATR,2ATR,5,-4.8,-100,83.45,1196,25.22,0.073
10,150,0.1,14,0.5,2ATR,2ATR,5,-4.9,-100,76.14,952,28.96,0.083
20,100,0.1,14,0.5,1ATR,3ATR,5,-4.94,-100,77.8,1000,28.32,0.079
10,150,0.1,14,1,1ATR,3ATR,5,-4.95,-100,76.58,962,28.37,0.148
10,150,0.2,14,0.5,1ATR,3ATR,5,-4.95,-100,76.58,962,28.37,0.148
5,100,0.1,14,0.5,1ATR,2ATR,5,-4.96,-100,84.7,1248,25.69,0.075
10,50,0.15,21,1,2ATR,3ATR,5,-5.03,-100,71.75,834,35.38,0.249
10,150,0.15,14,0.5,1ATR,3ATR,5,-5.05,-100,76.54,962,28.37,0.115
20,150,0.2,14,1,2ATR,3ATR,5,-5.05,-100,68.95,770,32.26,0.264
5,50,0.15,14,0.5,1ATR,3ATR,5,-5.07,-100,80.41,1082,31.55,0.129
5,50,0.2,14,1,2ATR,3ATR,0,-5.09,-100,83.62,1194,44.71,0.365
5,100,0.15,21,1,1ATR,2ATR,5,-5.11,-100,84.34,1228,26.15,0.19
5,50,0.15,21,0.5,1ATR,3ATR,5,-5.12,-100,80.99,1102,31.25,0.128
5,100,0.15,14,0.5,1ATR,2ATR,5,-5.13,-100,84.73,1248,25.69,0.109
20,150,0.1,14,1,1ATR,3ATR,5,-5.14,-100,76.65,964,27.82,0.147
20,150,0.2,14,0.5,1ATR,3ATR,5,-5.14,-100,76.65,964,27.82,0.147
5,150,0.15,14,1,1ATR,3ATR,5,-5.2,-100,77.97,1000,29.33,0.209
5,50,0.1,14,0.5,1ATR,3ATR,5,-5.21,-100,80.38,1082,31.55,0.088
5,150,0.15,14,0.5,2ATR,2ATR,5,-5.21,-100,77.11,978,29.9,0.123
5,150,0.1,14,1,2ATR,2ATR,5,-5.23,-100,77.15,978,29.9,0.158
5,150,0.2,14,0.5,2ATR,2ATR,5,-5.23,-100,77.15,978,29.9,0.158
20,50,0.1,21,1,1ATR,3ATR,5,-5.24,-100,78.87,1030,30.26,0.16
20,50,0.2,21,0.5,1ATR,3ATR,5,-5.24,-100,78.87,1030,30.26,0.16
20,100,0.15,14,1,1ATR,2ATR,5,-5.28,-100,83.02,1174,24.62,0.178
5,100,0.2,21,1,2ATR,3ATR,5,-5.3,-100,71.09,816,35.28,0.293
5,150,0.1,14,0.5,2ATR,2ATR,5,-5.3,-100,77.06,978,29.9,0.084
20,150,0.1,14,0.5,1ATR,3ATR,5,-5.3,-100,76.57,964,27.82,0.078
20,100,0.2,14,1,1ATR,2ATR,5,-5.31,-100,83.06,1174,24.62,0.206
20,150,0.15,14,0.5,1ATR,3ATR,5,-5.37,-100,76.62,964,27.82,0.114
5,50,0.1,21,0.5,1ATR,3ATR,5,-5.38,-100,80.96,1102,31.25,0.087
